Any,Codi comarca,Comarca,Població,Domèstic xarxa,Activitats econòmiques i fonts pròpies,Total,Consum domèstic per càpita
2020,28,"Pla de l'Estany",32637,1424715,1448611,2873326,119.6
2020,29,"Priorat",9160,346877,117637,464514,103.75
2020,30,"Ribera d'Ebre",21870,1036795,2989309,4026104,129.88
2020,31,"Ripollès",25253,1134721,1254046,2388767,123.11
2020,32,"Segarra",23318,898650,2678326,3576976,105.59
2020,33,"Segrià",211840,10019032,6632310,16651342,129.58
2020,34,"Selva",174638,8931510,8250191,17181701,140.12
2020,35,"Solsonès",13513,569634,652031,1221665,115.49
2020,36,"Tarragonès",261466,13389748,39046280,52436028,140.3
2020,37,"Terra Alta",11430,406509,171624,578133,97.44
2020,38,"Urgell",37116,1580925,1083843,2664768,116.7
2020,39,"Val d'Aran",10175,1404434,1047640,2452074,378.16
2020,40,"Vallès Occidental",937508,39046670,20716508,59763178,114.11
2020,41,"Vallès Oriental",414570,17721156,12327372,30048528,117.11
2019,1,"Alt Camp",44296,1655537,3028257,4683794,102.4
2019,2,"Alt Empordà",141339,8391792,4771602,13163394,162.67
2019,3,"Alt Penedès",108411,4296388,2914930,7211318,108.58
2019,4,"Alt Urgell",20177,972254,1452242,2424496,132.02
2019,5,"Alta Ribagorça",3802,489029,202942,691971,352.39
2019,6,"Anoia",120738,4996187,6271896,11268083,113.37
2019,7,"Bages",178885,7213340,7105346,14318686,110.48
2019,8,"Baix Camp",190973,9581608,6032268,15613876,137.46
2019,9,"Baix Ebre",77596,3421105,4488740,7909845,120.79
2019,10,"Baix Empordà",134359,10562167,6305271,16867438,215.37
2019,11,"Baix Llobregat",825963,32332690,25263950,57596640,107.25
2019,12,"Baix Penedès",104991,6395692,2290546,8686238,166.89
2019,13,"Barcelonès",2278437,86987695,41704636,128692331,104.6
2019,14,"Berguedà",39446,1389347,904665,2294012,96.5
2019,15,"Cerdanya",18192,1432411,2100446,3532857,215.72
2019,16,"Conca de Barberà",20042,739076,627320,1366396,101.03
2019,17,"Garraf",150887,7468438,2772171,10240609,135.61
2019,18,"Garrigues",18833,717759,774444,1492203,104.42
2019,19,"Garrotxa",57590,2370404,4045001,6415405,112.77
2019,20,"Gironès",193908,7377732,10334108,17711840,104.24
2019,21,"Maresme",452690,20732267,9563185,30295452,125.47
2019,42,"Moianès",13603,622573,582437,1205010,125.39
2019,22,"Montsià",67436,2764996,2005323,4770319,112.33
2019,23,"Noguera",38770,1713459,1702308,3415767,121.08
2019,24,"Osona",160821,6259962,8657380,14917342,106.64
2019,25,"Pallars Jussà",13080,799413,311119,1110532,167.44
2019,26,"Pallars Sobirà",6932,564191,584129,1148320,222.98
2019,27,"Pla d'Urgell",36693,1629247,4523152,6152399,121.65
2019,28,"Pla de l'Estany",32293,1374736,1430923,2805659,116.63
2019,29,"Priorat",9245,337421,132262,469683,99.99
2019,30,"Ribera d'Ebre",21865,947642,3457939,4405581,118.74
2019,31,"Ripollès",25087,1077632,1458292,2535924,117.69
2019,32,"Segarra",23052,829654,2295241,3124895,98.6
2019,33,"Segrià",209818,9379184,7903289,17282473,122.47
2019,34,"Selva",171617,8860789,10192204,19052993,141.46
2019,35,"Solsonès",13469,570274,571207,1141481,116
2019,36,"Tarragonès",256730,12983069,44208846,57191915,138.55
2019,37,"Terra Alta",11490,404546,264548,669094,96.46
2019,38,"Urgell",36693,1453491,1169112,2622603,108.53
2019,39,"Val d'Aran",10093,1392780,1177299,2570079,378.07
2019,40,"Vallès Occidental",925237,36467861,24083867,60551728,107.99
2019,41,"Vallès Oriental",409638,16648383,13516403,30164786,111.35
2018,1,"Alt Camp",44065,1641853,2890538,4532391,102.08
2018,2,"Alt Empordà",140569,8160164,4663173,12823337,159.04
2018,3,"Alt Penedès",108122,4177903,3068538,7246441,105.86
2018,4,"Alt Urgell",20224,922281,1389153,2311434,124.94
2018,5,"Alta Ribagorça",3774,493426,154114,647540,358.2
2018,6,"Anoia",119089,4731908,6240631,10972539,108.86
2018,7,"Bages",176485,6995011,7221037,14216048,108.59
2018,8,"Baix Camp",188841,9616130,6202185,15818315,139.51
2018,9,"Baix Ebre",77868,3364471,4368212,7732683,118.38
2018,10,"Baix Empordà",133461,10086083,5859640,15945723,207.05
2018,11,"Baix Llobregat",819168,31921843,25106252,57028095,106.76
2018,12,"Baix Penedès",102409,6029014,2232000,8261014,161.29
2018,13,"Barcelonès",2254642,86957071,42937375,129894446,105.67
2018,14,"Berguedà",39104,1345471,806894,2152365,94.27
2018,15,"Cerdanya",17882,1378190,1698063,3076253,211.15
2018,16,"Conca de Barberà",20103,740253,573841,1314094,100.88
2018,17,"Garraf",149103,7418408,2814563,10232971,136.31
2018,18,"Garrigues",18771,711204,935711,1646915,103.8
2018,19,"Garrotxa",56613,2260986,4005932,6266918,109.42
2018,20,"Gironès",190786,7184902,10036228,17221130,103.18
2018,21,"Maresme",447824,20343948,9385652,29729600,124.46
2018,42,"Moianès",13432,581316,525638,1106954,118.57
2018,22,"Montsià",67083,2718691,1953754,4672445,111.03
2018,23,"Noguera",38708,1667529,1730996,3398525,118.03
2018,24,"Osona",158334,6006017,8455751,14461768,103.92
2018,25,"Pallars Jussà",13091,788575,311938,1100513,165.04
2018,26,"Pallars Sobirà",6934,546098,628431,1174529,215.77
2018,27,"Pla d'Urgell",36740,1607559,4529496,6137055,119.88
2018,28,"Pla de l'Estany",32006,1307741,1498435,2806176,111.94
2018,29,"Priorat",9296,335821,138386,474207,98.97
2018,30,"Ribera d'Ebre",21964,950873,3419903,4370776,118.61
2018,31,"Ripollès",25000,1043999,1190031,2234030,114.41
2018,32,"Segarra",22822,817089,2598214,3415303,98.09
2018,33,"Segrià",208638,9200258,7704087,16904345,120.81
2018,34,"Selva",169029,8757016,10256780,19013796,141.94
2018,35,"Solsonès",13392,564374,609870,1174244,115.46
2018,36,"Tarragonès",252790,12630262,41807472,54437734,136.89
2018,37,"Terra Alta",11483,407182,284672,691854,97.15
2018,38,"Urgell",36243,1453506,1075228,2528734,109.88
2018,39,"Val d'Aran",9983,1237160,996737,2233897,339.53
2018,40,"Vallès Occidental",917905,35583820,24124484,59708304,106.21
2018,41,"Vallès Oriental",406289,16129792,13253159,29382951,108.77
2017,1,"Alt Camp",43995,1663061,2853335,4516396,103.56
2017,2,"Alt Empordà",139705,8217598,4815683,13033281,161.15
2017,3,"Alt Penedès",106930,4270342,3022309,7292651,109.41
2017,4,"Alt Urgell",20296,940210,1377727,2317937,126.92
2017,5,"Alta Ribagorça",3827,439839,200811,640650,314.88
2017,6,"Anoia",118277,4799172,6097025,10896197,111.17
2017,7,"Bages",175095,7211060,7639437,14850497,112.83
2017,8,"Baix Camp",187471,9496864,5714293,15211157,138.79
2017,9,"Baix Ebre",78180,3428803,4152279,7581082,120.16
2017,10,"Baix Empordà",132906,10304393,6175542,16479935,212.41
2017,11,"Baix Llobregat",813996,31980629,25453011,57433640,107.64
